Day,Type,recovery_time_ms
1,CPU,6.1445420718961365
2,CPU,6.1946366737702405
3,CPU,6.163828829823048
4,CPU,6.163001652515593
5,CPU,6.158871369401342
6,CPU,6.1603009146843535
7,CPU,6.176898701968385
8,CPU,6.169539726505157
9,CPU,6.171259192895659
10,CPU,6.171025642223834
11,CPU,6.169131685240227
12,CPU,6.169775406477732
13,CPU,6.169471476812671
14,CPU,6.169466882005787
15,CPU,6.169673200041694
16,CPU,6.169463183746589
17,CPU,6.169608088266104
18,CPU,6.169603045185378
19,CPU,6.16957782978175
20,CPU,6.169607079649959
21,CPU,6.169588476285504
22,CPU,6.1695893728331885
23,CPU,6.16959351936623
24,CPU,6.169585898710911
25,CPU,6.169590941791637
26,CPU,6.169589260764728
27,CPU,6.169589148696268
28,CPU,6.169590045243952
29,CPU,6.16958948490165
30,CPU,6.16958970903857
31,CPU,6.169589821107031
32,CPU,6.16958959697011
33,CPU,6.16958970903857
34,CPU,6.16958959697011
35,CPU,6.16958959697011
36,CPU,6.16958970903857
37,CPU,6.16958959697011
38,CPU,6.16958959697011
39,CPU,6.16958970903857
40,CPU,6.16958970903857
41,CPU,6.16958970903857
42,CPU,6.16958959697011
43,CPU,6.16958970903857
44,CPU,6.16958970903857
45,CPU,6.16958970903857
46,CPU,6.16958959697011
47,CPU,6.16958959697011
48,CPU,6.16958970903857
49,CPU,6.16958959697011
50,CPU,6.16958970903857
51,CPU,6.16958959697011
52,CPU,6.16958959697011
53,CPU,6.16958970903857
54,CPU,6.16958959697011
55,CPU,6.16958970903857
56,CPU,6.16958959697011
57,CPU,6.16958959697011
58,CPU,6.16958970903857
59,CPU,6.16958959697011
60,CPU,6.16958959697011
61,CPU,6.16958959697011
62,CPU,6.16958970903857
63,CPU,6.16958959697011
64,CPU,6.16958970903857
65,CPU,6.16958970903857
66,CPU,6.16958970903857
67,CPU,6.16958970903857
68,CPU,6.16958959697011
69,CPU,6.16958970903857
70,CPU,6.16958959697011
71,CPU,6.16958959697011
72,CPU,6.16958970903857
73,CPU,6.16958959697011
74,CPU,6.16958970903857
75,CPU,6.16958959697011
76,CPU,6.16958959697011
77,CPU,6.16958959697011
